"N","J","Distribution","Response","Alpha.mean","Alpha.sd","Omega.mean","Omega.sd"
2000,10,"normal","extreme",0.906308454,0.008230789,0.906927528,0.008194905
3000,10,"normal","extreme",0.906055177,0.007102022,0.906747936,0.007124122
4000,10,"normal","extreme",0.905121075,0.007681262,0.905771380,0.007613627
5000,10,"normal","extreme",0.905387201,0.007916830,0.906032204,0.007897225
  30,20,"normal","extreme",0.949433672,0.014919500,0.951205101,0.014016803
  50,20,"normal","extreme",0.946337628,0.014303024,0.947602995,0.013754282
 100,20,"normal","extreme",0.947887768,0.008283310,0.948593909,0.008093481
 200,20,"normal","extreme",0.950090024,0.007096074,0.950640743,0.006951555
 300,20,"normal","extreme",0.949375511,0.004577709,0.949869378,0.004508820
 400,20,"normal","extreme",0.949253242,0.005318600,0.949693083,0.005266901
 500,20,"normal","extreme",0.948843447,0.004096414,0.949286369,0.004025137
 800,20,"normal","extreme",0.950445761,0.004871861,0.950798946,0.004844670
1000,20,"normal","extreme",0.949393817,0.003850916,0.949768708,0.003791795
2000,20,"normal","extreme",0.950079834,0.004055695,0.950426750,0.004021229
3000,20,"normal","extreme",0.949497408,0.003614458,0.949839178,0.003608605
4000,20,"normal","extreme",0.950810169,0.003593044,0.951133155,0.003576050
5000,20,"normal","extreme",0.950142513,0.003385719,0.950475306,0.003365932
  10, 3,"skewed","extreme",0.604082312,0.330907716,0.710503076,0.188660981
  30, 3,"skewed","extreme",0.693080585,0.129620661,0.723896031,0.104925421
  50, 3,"skewed","extreme",0.726639519,0.091139432,0.739214179,0.085492269
 100, 3,"skewed","extreme",0.724848380,0.093956957,0.733003144,0.089901031
 200, 3,"skewed","extreme",0.726849118,0.050241844,0.731592827,0.049724547
 300, 3,"skewed","extreme",0.739897264,0.046171678,0.743125166,0.045453539
 400, 3,"skewed","extreme",0.734900898,0.052605460,0.737613056,0.051671718
 500, 3,"skewed","extreme",0.734169674,0.037998734,0.737082754,0.038010314
 800, 3,"skewed","extreme",0.725751486,0.045374352,0.728383904,0.045648979
1000, 3,"skewed","extreme",0.741043785,0.045239491,0.743160271,0.044914124
2000, 3,"skewed","extreme",0.737021823,0.037162405,0.738872973,0.037257668
3000, 3,"skewed","extreme",0.730888102,0.042603575,0.732478175,0.042771298
4000, 3,"skewed","extreme",0.734217504,0.038622284,0.736307702,0.038494428
5000, 3,"skewed","extreme",0.740474879,0.033183832,0.742276330,0.033337482
  30,10,"skewed","extreme",0.883943681,0.057855838,0.888355198,0.055614964
  50,10,"skewed","extreme",0.896535547,0.040300463,0.899366881,0.038475279
 100,10,"skewed","extreme",0.902648310,0.023257438,0.904258542,0.022629242
 200,10,"skewed","extreme",0.897868258,0.018036444,0.899162717,0.017501475
 300,10,"skewed","extreme",0.898818470,0.016000467,0.899838872,0.015666127
 400,10,"skewed","extreme",0.905615446,0.010808045,0.906472505,0.010582681
 500,10,"skewed","extreme",0.904423979,0.014700023,0.905178115,0.014481766
 800,10,"skewed","extreme",0.909029237,0.010889341,0.909779146,0.010773245
1000,10,"skewed","extreme",0.907738782,0.010275116,0.908329491,0.010208797
2000,10,"skewed","extreme",0.905243282,0.010264433,0.905847031,0.010210094
3000,10,"skewed","extreme",0.903808726,0.010105776,0.904505436,0.010011486
4000,10,"skewed","extreme",0.905504529,0.010408173,0.906169158,0.010332350
5000,10,"skewed","extreme",0.905126273,0.010161936,0.905822522,0.010115806
  30,20,"skewed","extreme",0.939087677,0.026017044,0.941342642,0.024580254
  50,20,"skewed","extreme",0.946504687,0.016555877,0.947693561,0.016128136
 100,20,"skewed","extreme",0.949157127,0.013484547,0.949863169,0.013234581
 200,20,"skewed","extreme",0.950353924,0.009427294,0.950852336,0.009250576
 300,20,"skewed","extreme",0.949658699,0.007747120,0.950149224,0.007621496
